# GPT2-BASIC fixed-point parity vectors
# profile=486sx-safe
# tokenizer=lexicon vocab=4096 merges=0
# format: V|name|context_len|comma_tokens|top_count|token:logit,...
# format: P|name|phase|dim|value_count|index:value,...
V|what_makes_this_real_inf|7|89,106,99,118,1913,285,65|8|2888:95404,2245:87827,269:85308,3369:79036,2363:78089,2892:76513,3361:70970,383:68020
P|what_makes_this_real_inf|logits|4096|8|2888:95404,2245:87827,269:85308,3369:79036,2363:78089,2892:76513,3361:70970,383:68020
V|gpt2_basic_on_a_486|6|73,82,86,52,2244,1429|8|259:98711,2171:81539,1987:80436,375:77051,3623:72327,1949:70380,735:67161,376:67007
P|gpt2_basic_on_a_486|embedding|48|8|0:4115,1:4705,2:-2083,3:1864,4:-4063,5:6555,6:5643,7:-4516
P|gpt2_basic_on_a_486|ln1|48|8|0:5998,1:-3397,2:3007,3:2507,4:-1110,5:-5163,6:5676,7:-5353
P|gpt2_basic_on_a_486|q|48|8|0:-61,1:12102,2:9645,3:-4429,4:-4694,5:5647,6:-3002,7:1553
P|gpt2_basic_on_a_486|k|48|8|0:-8800,1:2361,2:-12944,3:-541,4:6763,5:-6330,6:15220,7:11336
P|gpt2_basic_on_a_486|v|48|8|0:-1176,1:-3000,2:-6374,3:4811,4:1817,5:15031,6:1610,7:8254
P|gpt2_basic_on_a_486|attn|48|8|0:60,1:-3905,2:-3663,3:284,4:1424,5:11820,6:638,7:5024
P|gpt2_basic_on_a_486|proj|48|8|0:-7529,1:7219,2:-16851,3:-3861,4:-8824,5:7541,6:-9322,7:-298
P|gpt2_basic_on_a_486|ln2|48|8|0:2828,1:1547,2:-9132,3:-491,4:-9270,5:-1600,6:-792,7:-8714
P|gpt2_basic_on_a_486|ff1|192|8|0:-674,1:-340,2:1265,3:-369,4:-280,5:5417,6:-77,7:0
P|gpt2_basic_on_a_486|ff2|48|8|0:1227,1:-3689,2:-875,3:3948,4:4124,5:-3223,6:3392,7:7406
P|gpt2_basic_on_a_486|hidden|48|8|0:3589,1:-2016,2:-13532,3:2739,4:-7649,5:-5002,6:2019,7:-3007
P|gpt2_basic_on_a_486|final_ln|48|8|0:7541,1:-2851,2:-16052,3:5801,4:-7347,5:-8766,6:3987,7:-5004
P|gpt2_basic_on_a_486|logits|4096|8|259:98711,2171:81539,1987:80436,375:77051,3623:72327,1949:70380,735:67161,376:67007
V|dos_language_models_need|5|70,81,85,1912,2238|8|270:77202,508:66672,112:60819,281:50153,746:49348,116:48028,110:45975,268:44985
P|dos_language_models_need|embedding|48|8|0:-3605,1:6099,2:-5960,3:-1443,4:-7135,5:-927,6:1562,7:1810
P|dos_language_models_need|ln1|48|8|0:5441,1:4064,2:3180,3:5446,4:4308,5:-2842,6:-1418,7:-811
P|dos_language_models_need|q|48|8|0:-2551,1:-4352,2:9145,3:-1771,4:-6189,5:12887,6:-2224,7:-10473
P|dos_language_models_need|k|48|8|0:-394,1:1075,2:-8216,3:-4524,4:2245,5:-12403,6:22657,7:6729
P|dos_language_models_need|v|48|8|0:9239,1:-14533,2:-6817,3:7771,4:-12014,5:17319,6:8190,7:7270
P|dos_language_models_need|attn|48|8|0:1958,1:-2997,2:-3272,3:16033,4:-4721,5:17901,6:-3170,7:6809
P|dos_language_models_need|proj|48|8|0:-2340,1:-2955,2:938,3:-4239,4:-4021,5:3293,6:-2722,7:2350
P|dos_language_models_need|ln2|48|8|0:5404,1:2023,2:4679,3:1949,4:2782,5:-1936,6:-4681,7:-631
P|dos_language_models_need|ff1|192|8|0:-60,1:420,2:7264,3:-95,4:-491,5:-476,6:0,7:2091
P|dos_language_models_need|ff2|48|8|0:-6094,1:-6082,2:-7346,3:5121,4:1547,5:2576,6:3827,7:2782
P|dos_language_models_need|hidden|48|8|0:572,1:-2918,2:-1611,3:7844,4:4493,5:1087,6:-1493,7:3763
P|dos_language_models_need|final_ln|48|8|0:2830,1:-4964,2:21,3:11535,4:7772,5:-333,6:-91,7:4604
P|dos_language_models_need|logits|4096|8|270:77202,508:66672,112:60819,281:50153,746:49348,116:48028,110:45975,268:44985
