# GPT2-BASIC fixed-point parity vectors
# profile=486sx-safe
# tokenizer=lexicon vocab=4096 merges=0
# format: V|name|context_len|comma_tokens|top_count|token:logit,...
# format: P|name|phase|dim|value_count|index:value,...
V|what_makes_this_real_inf|7|89,106,99,118,2061,281,65|8|259:77220,911:69861,345:53835,281:52927,450:49909,783:47289,1843:46213,808:46074
P|gpt2_basic_on_a_486|logits|4096|8|259:87166,0:62345,263:57183,1884:54787,270:54067,403:50388,85:49900,663:48588
V|dos_language_models_need|5|70,81,85,1919,2166|8|1783:69869,325:64790,846:57659,618:54545,1709:51557,1638:51105,1021:50127,1457:49475
P|dos_language_models_need|embedding|48|8|0:-2276,1:616,2:2462,3:-2532,4:-3989,5:9066,6:3334,7:664
P|dos_language_models_need|ln1|48|8|0:5731,1:95,2:-1256,3:-1413,4:-2414,5:2420,6:-909,7:1109
P|dos_language_models_need|q|48|8|0:186,1:3158,2:3217,3:8814,4:-4601,5:-5362,6:1923,7:5452
P|dos_language_models_need|k|48|8|0:18724,1:-15107,2:4829,3:3105,4:-11218,5:5260,6:16077,7:8900
P|dos_language_models_need|v|48|8|0:-4186,1:-13239,2:5811,3:7579,4:6524,5:309,6:-4230,7:-2018
P|dos_language_models_need|attn|48|8|0:-6693,1:-12021,2:4464,3:5718,4:5552,5:3592,6:-3336,7:-817
P|dos_language_models_need|proj|48|8|0:-7888,1:1615,2:-2796,3:-13688,4:-10001,5:-10173,6:717,7:-2182
P|dos_language_models_need|ln2|48|8|0:1519,1:2246,2:-3817,3:-13826,4:-11328,5:-6800,6:-396,7:-1076
P|dos_language_models_need|ff1|192|8|0:-645,1:-170,2:6091,3:0,4:8382,5:284,6:-202,7:0
P|dos_language_models_need|ff2|48|8|0:-4579,1:-5876,2:7634,3:6276,4:10040,5:6939,6:3675,7:-1413
P|dos_language_models_need|hidden|48|8|0:-2888,1:-2888,2:3235,3:-8988,4:-2856,5:410,6:2869,7:-1610
P|dos_language_models_need|final_ln|48|8|0:-3442,1:-6287,2:8933,3:-13146,4:-3313,5:-690,6:5471,7:-4775
P|dos_language_models_need|logits|4096|8|1783:69869,325:64790,846:57659,618:54545,1709:51557,1638:51105,1021:50127,1457:49475
