# GPT2-BASIC fixed-point parity vectors
# profile=486sx-safe
# format: V|name|context_len|comma_tokens|top_count|token:logit,...
# format: P|name|phase|dim|value_count|index:value,...
V|what_makes_this_real_inf|31|89,106,99,118,34,111,99,109,103,117,34,118,106,107,117,34,116,103,99,110,34,107,112,104,103,116,103,112,101,103,65|8|34:149943,0:88577,71:62817,47:59613,117:50479,65:40727,114:35461,48:34867
P|gpt2_basic_on_a_486|hidden|48|8|0:-8104,1:-14923,2:-97,3:-534,4:17186,5:12855,6:-12380,7:12954
P|gpt2_basic_on_a_486|final_ln|48|8|0:-13171,1:-22712,2:-985,3:1195,4:16437,5:18247,6:-16755,7:19316
P|gpt2_basic_on_a_486|logits|258|8|34:127239,65:98194,48:90679,46:86332,89:60888,90:59346,72:59327,104:57683
V|dos_language_models_need|24|70,81,85,34,110,99,112,105,119,99,105,103,34,111,113,102,103,110,117,34,112,103,103,102|8|117:104768,102:80792,47:77898,34:73465,107:65247,101:35184,46:26287,60:15101
P|dos_language_models_need|embedding|48|8|0:2710,1:-8880,2:5486,3:4254,4:5453,5:7343,6:684,7:-3205
P|dos_language_models_need|ln1|48|8|0:-503,1:-3868,2:644,3:4115,4:-1789,5:556,6:2724,7:5204
P|dos_language_models_need|q|48|8|0:-7432,1:16172,2:864,3:-3921,4:10379,5:1884,6:8912,7:13088
P|dos_language_models_need|k|48|8|0:7842,1:-4383,2:-7799,3:10031,4:-15667,5:8191,6:16540,7:-8828
P|dos_language_models_need|v|48|8|0:15460,1:2010,2:11866,3:3481,4:-3875,5:-9441,6:-5651,7:7736
P|dos_language_models_need|attn|48|8|0:2365,1:1671,2:6495,3:3949,4:-184,5:-7325,6:-3985,7:2741
P|dos_language_models_need|proj|48|8|0:1198,1:881,2:-2883,3:-4822,4:-1012,5:3610,6:-13967,7:-4397
P|dos_language_models_need|ln2|48|8|0:1191,1:-5938,2:-2404,3:4495,4:-3449,5:4354,6:-4919,7:5064
P|dos_language_models_need|ff1|192|8|0:21841,1:-35,2:-35,3:6989,4:0,5:16445,6:0,7:504
P|dos_language_models_need|ff2|48|8|0:9847,1:-270,2:7725,3:-16763,4:3954,5:11296,6:34,7:-5748
P|dos_language_models_need|hidden|48|8|0:11305,1:-8417,2:5802,3:-10818,4:-212,5:17003,6:-7596,7:601
P|dos_language_models_need|final_ln|48|8|0:14323,1:-12993,2:3810,3:-5974,4:-2168,5:22046,6:-9473,7:1836
P|dos_language_models_need|logits|258|8|117:104768,102:80792,47:77898,34:73465,107:65247,101:35184,46:26287,60:15101
