# GPT2-BASIC fixed-point parity vectors
# profile=486sx-safe
# format: V|name|context_len|comma_tokens|top_count|token:logit,...
# format: P|name|phase|dim|value_count|index:value,...
V|what_makes_this_real_inf|31|89,106,99,118,34,111,99,109,103,117,34,118,106,107,117,34,116,103,99,110,34,107,112,104,103,116,103,112,101,103,65|8|34:107622,0:58718,114:53475,110:41271,89:41175,75:29336,47:28584,123:27843
P|gpt2_basic_on_a_486|ln1|48|8|0:-9743,1:4546,2:3120,3:1741,4:5539,5:-1562,6:5063,7:4471
P|gpt2_basic_on_a_486|q|48|8|0:-13433,1:-2679,2:342,3:9466,4:5689,5:-14776,6:6023,7:12107
P|gpt2_basic_on_a_486|k|48|8|0:7270,1:-7645,2:5066,3:13477,4:-16197,5:8831,6:2465,7:-14704
P|gpt2_basic_on_a_486|v|48|8|0:3313,1:1898,2:7650,3:-5090,4:2344,5:-1551,6:5448,7:-6966
P|gpt2_basic_on_a_486|attn|48|8|0:1386,1:1097,2:6439,3:587,4:8967,5:-3700,6:-2810,7:-6140
P|gpt2_basic_on_a_486|proj|48|8|0:12321,1:-226,2:-4130,3:-4563,4:-8410,5:7385,6:-19185,7:-987
P|gpt2_basic_on_a_486|ln2|48|8|0:-5392,1:8546,2:1409,3:1854,4:2406,5:2993,6:-6994,7:6465
P|gpt2_basic_on_a_486|ff1|192|8|0:-708,1:11581,2:427,3:12129,4:3044,5:-179,6:1581,7:225
P|gpt2_basic_on_a_486|ff2|48|8|0:4014,1:-10157,2:-8037,3:-2450,4:4478,5:13859,6:-9003,7:-9194
P|gpt2_basic_on_a_486|hidden|48|8|0:-3105,1:624,2:-4883,3:118,4:9162,5:18329,6:-17554,7:-417
P|gpt2_basic_on_a_486|final_ln|48|8|0:-4943,1:-892,2:-5823,3:1185,4:8198,5:20632,6:-20980,7:1071
P|gpt2_basic_on_a_486|logits|258|8|34:135210,99:63711,46:61070,47:59684,87:59245,82:42394,107:34973,48:31661
V|dos_language_models_need|24|70,81,85,34,110,99,112,105,119,99,105,103,34,111,113,102,103,110,117,34,112,103,103,102|8|117:91389,114:61908,112:50780,102:46609,107:44863,47:41917,34:36940,100:29254
P|dos_language_models_need|embedding|48|8|0:2491,1:-8303,2:5558,3:4253,4:6732,5:5634,6:-330,7:-4403
P|dos_language_models_need|ln1|48|8|0:879,1:-2846,2:2120,3:6034,4:-3540,5:764,6:352,7:5867
P|dos_language_models_need|q|48|8|0:6417,1:3575,2:86,3:-6707,4:-220,5:-10946,6:-636,7:14554
P|dos_language_models_need|k|48|8|0:16697,1:-7404,2:-14780,3:3423,4:-14129,5:5243,6:9019,7:-11106
P|dos_language_models_need|v|48|8|0:7550,1:-5115,2:-4347,3:-4555,4:-8211,5:-7572,6:-863,7:112
P|dos_language_models_need|attn|48|8|0:2640,1:-284,2:3780,3:-390,4:-411,5:-10869,6:-2702,7:-3260
P|dos_language_models_need|proj|48|8|0:12553,1:-4462,2:-1696,3:-21195,4:1165,5:92,6:-13610,7:2607
P|dos_language_models_need|ln2|48|8|0:10192,1:-6998,2:1319,3:-2996,4:-4529,5:1151,6:-7607,7:9533
P|dos_language_models_need|ff1|192|8|0:20500,1:2182,2:0,3:29,4:11098,5:-228,6:-510,7:-488
P|dos_language_models_need|ff2|48|8|0:-5810,1:10262,2:11054,3:5972,4:-6562,5:-10743,6:14223,7:700
P|dos_language_models_need|hidden|48|8|0:10107,1:639,2:14396,3:872,4:-11336,5:-8256,6:2999,7:15558
P|dos_language_models_need|final_ln|48|8|0:10589,1:-1635,2:11749,3:1268,4:-16182,5:-13467,6:3286,7:21840
P|dos_language_models_need|logits|258|8|117:91389,114:61908,112:50780,102:46609,107:44863,47:41917,34:36940,100:29254
